utilization_pct,global_constructor_enabled,seed,feasible_at_gen_0,generations_to_first_feasible,final_feasible,initial_fitness,first_feasible_fitness,best_fitness,final_fitness,seed_population_size,seed_feasible_count,construction_ms,optimization_ms,total_wall_ms,construction_overhead_pct
90,true,30,true,0,true,79840,79840,79840,79840,100,100,1,15075,15077,0.01
95,false,1,true,0,true,45384,45384,58580,58580,100,47,0,16397,16397,0.00
95,true,1,true,0,true,84880,84880,84880,84880,100,48,1,15795,15796,0.01
95,false,2,true,0,true,44522.4,44522.4,58080,58080,100,46,0,16396,16396,0.00
95,true,2,true,0,true,84880,84880,84880,84880,100,47,1,15752,15753,0.01
95,false,3,true,0,true,45409.6,45409.6,58973.6,58973.6,100,42,0,16363,16363,0.00
95,true,3,true,0,true,84880,84880,84880,84880,100,44,1,15699,15700,0.01
95,false,4,true,0,true,44016,44016,55880,55880,100,50,0,16422,16422,0.00
95,true,4,true,0,true,84880,84880,84880,84880,100,52,1,15814,15816,0.01
95,false,5,true,0,true,44190.4,44190.4,57080,57080,100,57,0,16362,16362,0.00
95,true,5,true,0,true,84880,84880,84880,84880,100,58,1,15728,15729,0.01
95,false,6,true,0,true,46122.4,46122.4,58373.6,58373.6,100,50,0,16438,16438,0.00
95,true,6,true,0,true,84880,84880,84880,84880,100,52,1,15711,15712,0.01
95,false,7,true,0,true,44728.8,44728.8,57780,57780,100,51,0,16539,16539,0.00
95,true,7,true,0,true,84880,84880,84880,84880,100,52,1,15689,15690,0.01
95,false,8,true,0,true,45603.2,45603.2,57680,57680,100,44,0,16393,16393,0.00
95,true,8,true,0,true,84880,84880,84880,84880,100,46,1,15832,15833,0.01
95,false,9,true,0,true,44309.6,44309.6,57380,57380,100,53,0,16357,16357,0.00
95,true,9,true,0,true,84880,84880,84880,84880,100,54,1,15797,15798,0.01
95,false,10,true,0,true,44303.2,44303.2,58480,58480,100,43,0,16407,16407,0.00
95,true,10,true,0,true,84880,84880,84880,84880,100,45,1,15743,15744,0.01
95,false,11,true,0,true,44190.4,44190.4,57073.6,57073.6,100,45,0,16411,16411,0.00
95,true,11,true,0,true,84880,84880,84880,84880,100,46,1,15868,15869,0.01
95,false,12,true,0,true,44128.8,44128.8,56580,56580,100,46,0,16368,16368,0.00
95,true,12,true,0,true,84880,84880,84880,84880,100,49,1,15810,15811,0.01
95,false,13,true,0,true,43916,43916,57680,57680,100,50,0,16485,16485,0.00
95,true,13,true,0,true,84880,84880,84880,84880,100,51,1,15929,15931,0.01
95,false,14,true,0,true,44828.8,44828.8,56680,56680,100,46,0,19437,19437,0.00
95,true,14,true,0,true,84880,84880,84880,84880,100,48,1,17066,17068,0.01
95,false,15,true,0,true,44177.6,44177.6,56880,56880,100,51,0,18929,18929,0.00
95,true,15,true,0,true,84880,84880,84880,84880,100,52,1,17488,17490,0.01
95,false,16,true,0,true,44528.8,44528.8,57580,57580,100,39,0,16810,16810,0.00
95,true,16,true,0,true,84880,84880,84880,84880,100,41,1,16872,16874,0.01
