generation,parent_fitness,parent_hc_cov,parent_hc_skills,parent_hc_1shift,parent_hc_forb,parent_soft_pen,objective_delta,survived_generation,became_champion
3,16620,9000,6000,40000,23000,5380,-985,false,false
3,14310,14000,8000,35000,24000,4690,0,false,false
3,14590,9000,6000,41000,24000,5410,-970,false,false
3,17620,9000,6000,39000,23000,5380,15,true,false
3,11585,11000,14000,32000,26000,5415,30,false,false
3,15645,9000,6000,40000,24000,5355,0,false,false
3,16255,14000,8000,33000,24000,4745,-3030,false,false
3,16680,9000,6000,40000,23000,5320,1930,true,false
3,15565,9000,6000,41000,23000,5435,1015,true,false
3,15755,9000,6000,40000,24000,5245,-35,false,false
3,14560,10000,6000,40000,24000,5440,15,false,false
3,17620,9000,6000,39000,23000,5380,60,true,false
3,15565,9000,6000,41000,23000,5435,-970,false,false
3,16620,9000,6000,40000,23000,5380,0,true,false
3,15740,9000,6000,40000,24000,5260,-1020,false,false
3,16220,14000,8000,33000,24000,4780,0,true,false
3,17620,9000,6000,39000,23000,5380,0,true,false
3,17620,9000,6000,39000,23000,5380,145,true,false
3,15325,14000,8000,33000,25000,4675,-955,false,false
3,17620,9000,6000,39000,23000,5380,-1800,false,false
3,18650,10000,6000,38000,22000,5350,-950,true,false
3,16430,14000,8000,33000,24000,4570,0,true,false
3,16620,9000,6000,40000,23000,5380,-955,false,false
3,16190,14000,8000,33000,24000,4810,1035,true,false
3,14650,9000,6000,43000,22000,5350,0,false,false
3,16620,9000,6000,40000,23000,5380,0,true,false
3,16620,9000,6000,40000,23000,5380,1000,true,false
3,16615,9000,6000,40000,23000,5385,95,true,false
3,16620,9000,6000,40000,23000,5380,0,true,false
3,15735,9000,6000,40000,24000,5265,0,false,false
3,15565,9000,6000,41000,23000,5435,0,false,false
3,17620,9000,6000,39000,23000,5380,0,true,false
3,18650,9000,6000,39000,22000,5350,-3990,false,false
3,12680,9000,6000,42000,25000,5320,0,false,false
3,17310,14000,8000,32000,24000,4690,0,true,false
3,15735,9000,6000,40000,24000,5265,0,false,false
3,15640,9000,6000,41000,23000,5360,0,false,false
3,17515,9000,6000,40000,22000,5485,-1015,true,false
3,17295,14000,8000,34000,22000,4705,790,true,false
3,16620,9000,6000,40000,23000,5380,-2015,false,false
