env,penalty,mode,seed,gen,dist0,dist2,dist5,dist10
StaticNull,200,GA,116,600,0.00,0.00,1.00,32.00
StaticNull,200,GA,116,650,0.00,0.00,0.00,49.00
StaticNull,200,GA,116,700,0.00,0.00,0.00,31.00
StaticNull,200,GA,116,750,0.00,0.00,0.00,29.00
StaticNull,200,GA,116,800,0.00,0.00,0.00,42.00
StaticNull,200,GA,116,850,0.00,0.00,0.00,31.00
StaticNull,200,GA,116,900,0.00,0.00,0.00,17.00
StaticNull,200,GA,116,950,0.00,0.00,0.00,15.00
StaticNull,200,GA,116,1000,0.00,0.00,0.00,37.00
StaticNull,200,GA,117,0,0.00,0.00,2.00,56.00
StaticNull,200,GA,117,50,0.00,0.00,1.00,61.00
StaticNull,200,GA,117,100,0.00,0.00,5.00,82.00
StaticNull,200,GA,117,150,0.00,0.00,0.00,57.00
StaticNull,200,GA,117,200,0.00,0.00,1.00,65.00
StaticNull,200,GA,117,250,0.00,0.00,1.00,80.00
StaticNull,200,GA,117,300,0.00,0.00,1.00,81.00
StaticNull,200,GA,117,350,0.00,0.00,4.00,76.00
StaticNull,200,GA,117,400,0.00,0.00,0.00,70.00
StaticNull,200,GA,117,450,0.00,0.00,1.00,70.00
StaticNull,200,GA,117,500,0.00,0.00,2.00,86.00
StaticNull,200,GA,117,550,0.00,0.00,3.00,64.00
StaticNull,200,GA,117,600,0.00,0.00,0.00,77.00
StaticNull,200,GA,117,650,0.00,0.00,1.00,61.00
StaticNull,200,GA,117,700,0.00,0.00,0.00,71.00
StaticNull,200,GA,117,750,0.00,0.00,0.00,61.00
StaticNull,200,GA,117,800,0.00,0.00,1.00,86.00
StaticNull,200,GA,117,850,0.00,0.00,2.00,76.00
StaticNull,200,GA,117,900,0.00,0.00,2.00,87.00
StaticNull,200,GA,117,950,0.00,0.00,1.00,56.00
StaticNull,200,GA,117,1000,0.00,0.00,0.00,73.00
StaticNull,200,GA,118,0,0.00,0.00,1.00,49.00
StaticNull,200,GA,118,50,0.00,0.00,0.00,29.00
StaticNull,200,GA,118,100,0.00,0.00,0.00,18.00
StaticNull,200,GA,118,150,0.00,0.00,0.00,21.00
StaticNull,200,GA,118,200,0.00,0.00,0.00,17.00
StaticNull,200,GA,118,250,0.00,0.00,0.00,28.00
StaticNull,200,GA,118,300,0.00,0.00,0.00,22.00
StaticNull,200,GA,118,350,0.00,0.00,0.00,46.00
StaticNull,200,GA,118,400,0.00,0.00,0.00,28.00
StaticNull,200,GA,118,450,0.00,0.00,0.00,37.00
StaticNull,200,GA,118,500,0.00,0.00,1.00,20.00
StaticNull,200,GA,118,550,0.00,0.00,0.00,22.00
StaticNull,200,GA,118,600,0.00,0.00,0.00,25.00
StaticNull,200,GA,118,650,0.00,0.00,0.00,22.00
StaticNull,200,GA,118,700,0.00,0.00,0.00,19.00
StaticNull,200,GA,118,750,0.00,0.00,1.00,23.00
StaticNull,200,GA,118,800,0.00,0.00,0.00,27.00
StaticNull,200,GA,118,850,0.00,0.00,0.00,22.00
StaticNull,200,GA,118,900,0.00,0.00,0.00,16.00
StaticNull,200,GA,118,950,0.00,0.00,0.00,33.00
StaticNull,200,GA,118,1000,0.00,0.00,0.00,47.00
StaticNull,200,GA,119,0,0.00,0.00,1.00,47.00
StaticNull,200,GA,119,50,0.00,0.00,0.00,37.00
StaticNull,200,GA,119,100,0.00,0.00,0.00,64.00
StaticNull,200,GA,119,150,0.00,0.00,0.00,44.00
StaticNull,200,GA,119,200,0.00,0.00,0.00,48.00
StaticNull,200,GA,119,250,0.00,0.00,0.00,27.00
StaticNull,200,GA,119,300,0.00,0.00,0.00,37.00
StaticNull,200,GA,119,350,0.00,0.00,0.00,41.00
StaticNull,200,GA,119,400,0.00,0.00,0.00,52.00
StaticNull,200,GA,119,450,0.00,0.00,0.00,42.00
StaticNull,200,GA,119,500,0.00,0.00,0.00,53.00
StaticNull,200,GA,119,550,0.00,0.00,0.00,37.00
StaticNull,200,GA,119,600,0.00,0.00,0.00,29.00
StaticNull,200,GA,119,650,0.00,0.00,0.00,25.00
StaticNull,200,GA,119,700,0.00,0.00,0.00,50.00
StaticNull,200,GA,119,750,0.00,0.00,0.00,42.00
StaticNull,200,GA,119,800,0.00,0.00,1.00,45.00
StaticNull,200,GA,119,850,0.00,0.00,0.00,32.00
StaticNull,200,GA,119,900,0.00,0.00,0.00,50.00
StaticNull,200,GA,119,950,0.00,0.00,0.00,20.00
StaticNull,200,GA,119,1000,0.00,0.00,0.00,28.00
StaticNull,200,PureSA,100,0,0.00,0.00,3.00,56.00
StaticNull,200,PureSA,100,50,0.00,0.00,2.00,52.00
StaticNull,200,PureSA,100,100,0.00,0.00,0.00,48.00
StaticNull,200,PureSA,100,150,0.00,0.00,3.00,46.00
StaticNull,200,PureSA,100,200,0.00,0.00,1.00,43.00
StaticNull,200,PureSA,100,250,0.00,0.00,1.00,45.00
StaticNull,200,PureSA,100,300,0.00,0.00,1.00,45.00
StaticNull,200,PureSA,100,350,0.00,0.00,1.00,45.00
StaticNull,200,PureSA,100,400,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,100,450,0.00,0.00,1.00,47.00
StaticNull,200,PureSA,100,500,0.00,0.00,1.00,47.00
StaticNull,200,PureSA,100,550,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,100,600,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,100,650,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,100,700,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,100,750,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,100,800,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,100,850,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,100,900,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,100,950,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,100,1000,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,101,0,0.00,0.00,0.00,54.00
StaticNull,200,PureSA,101,50,0.00,0.00,2.00,48.00
StaticNull,200,PureSA,101,100,0.00,0.00,3.00,42.00
