ticker,date,entry_price,b_realized,b_mfe,b_mae,b_duration,b_round_trip,b_exit_ts,b_exit_reason,m_realized,m_mfe,m_mae,m_duration,m_round_trip,m_exit_ts,m_exit_reason,triggered,trigger_bar,trigger_ts,trigger_return,imv,profit_capture
PIDILITIND_NS,20260915,1556.699951,-0.0005716907740816843,0.012012638274993074,-0.0011562450328217139,41,1,1789446300,STOP,0.00044971634618008955,0.012012638274993074,-0.00025689097736411213,38,0,1789446120,E4-PP-050,1,0.0,1789443900.0,0.006038430578673182,0.0010214071202617738,0.07447570031995056
POLYCAB_NS,20260915,8173.0,0.0021411966230270403,0.013091887923651046,-0.0030588523186100575,300,0,1789461900,H300,0.0004999999999999305,0.013091887923651046,-6.117704637220115e-05,44,0,1789446480,E4-PP-050,1,0.0,1789443900.0,0.011256576532485012,-0.0016411966230271097,0.04441847826086339
POWERGRID_NS,20260915,264.899994,-0.0003774783022455676,0.01340135253846498,-0.0005662287783969992,43,1,1789446420,STOP,0.00037752360235994415,0.01340135253846498,-0.0005662287783969992,43,0,1789446420,E4-PP-050,1,0.0,1789443900.0,0.01340135253846498,0.0007550019046055117,0.028170559745843874
SBILIFE_NS,20260915,1675.199951,-0.009371986305651494,0.004417397804674031,-0.009371986305651494,300,0,1789461900,H300,-0.009371986305651494,0.004417397804674031,-0.009371986305651494,300,0,1789461900,H300,0,,,,0.0,
SBIN_NS,20260915,981.900024,-0.0038497035417121303,0.017211491373757944,-0.004684831545570142,293,1,1789461420,STOP,0.0004999999999999845,0.017211491373757944,0.0002036374183217961,41,0,1789446300,E4-PP-050,1,0.0,1789443900.0,0.017211491373757944,0.004349703541712115,0.029050358806345256
SUNPHARMA_NS,20260915,1830.400024,-0.0007921896749275747,0.012947962890726814,-0.001311201905884607,47,1,1789446660,STOP,0.0004999999999998834,0.012947962890726814,0.00032778408661120607,42,0,1789446360,E4-PP-050,1,0.0,1789443900.0,0.012947962890726814,0.0012921896749274581,0.038616113146105614
TATASTEEL_NS,20260915,182.979996,-0.0028418188401315293,0.017215045096036073,-0.0031697568925273386,3,1,1789444020,STOP,0.000499999999999923,0.017215045096036073,-0.0020766745261289374,2,0,1789443960,E4-PP-050,1,0.0,1789443900.0,0.017215045096036073,0.003341818840131452,0.029044361906147592
TCS_NS,20260915,2293.600098,-0.00375832648747989,-0.004665240320481487,-0.009068733991602266,1,0,1789443900,STOP,-0.00375832648747989,-0.004665240320481487,-0.009068733991602266,1,0,1789443900,STOP,0,,,,0.0,
TECHM_NS,20260915,1615.5,-0.0019189105540079908,0.0007427738606468585,-0.012256297634246363,1,0,1789443900,STOP,-0.0019189105540079908,0.0007427738606468585,-0.012256297634246363,1,0,1789443900,STOP,0,,,,0.0,
TITAN_NS,20260915,4921.5,-0.006298892614040435,0.016052016661586916,-0.00731484303565986,300,1,1789461900,H300,0.0004999999999998536,0.016052016661586916,-0.0005079752108097125,56,0,1789447200,E4-PP-050,1,0.0,1789443900.0,0.016052016661586916,0.006798892614040289,0.03114873417720607
TMCV_NS,20260915,431.100006,-0.004291361573305122,0.03514264390894022,-0.004407315626362477,300,1,1789461900,H300,0.0004999999999999437,0.03514264390894022,2.401197308523726e-10,50,0,1789446840,E4-PP-050,1,0.0,1789443900.0,0.03514264390894022,0.004791361573305066,0.014227728605039437
TORNTPHARM_NS,20260915,4910.5,-0.00864881376641895,0.009164036248854495,-0.008756745748905406,300,1,1789461840,STOP,0.0004999999999999956,0.009164036248854495,-0.00020364524997454434,7,0,1789444260,E4-PP-050,1,0.0,1789443900.0,0.009164036248854495,0.009148813766418946,0.05456111111111063
TRENT_NS,20260915,2792.899902,-0.004776362371758272,0.007590746679130317,-0.005227488876855247,97,1,1789449660,STOP,0.0004999999999999266,0.007590746679130317,0.0004297309958693568,38,0,1789446120,E4-PP-050,1,0.0,1789443900.0,0.00701783045857255,0.005276362371758199,0.07124709024413056
TVSMOTOR_NS,20260915,4088.0,-0.013282790809228229,0.014407999594850783,-0.013282790809228229,300,1,1789461900,H300,0.0004999999999999679,0.014407999594850783,0.0,50,0,1789446840,E4-PP-050,1,0.0,1789443900.0,0.014407999594850783,0.013782790809228196,0.03470294378538579
