cohort_label,as_of_cohort,evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-BPCL_NS,2026-03-23T03:45:00Z,BPCL.NS,LONG,NoTrade,Unfavourable,0.278571,140,Exact,0.854504,3.0,271.3000,282.1260,258.6307,NO_TRADE,1,false,false,false,0.043126,-0.002211,0.039904,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-BRITANNIA_NS,2026-03-23T03:45:00Z,BRITANNIA.NS,LONG,Watch,Mixed,0.347458,118,Exact,1.464064,5.0,5490.0000,5680.9102,5359.6025,TARGET,2,true,false,false,0.045082,-0.015574,0.034774,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-CANBK_NS,2026-03-23T03:45:00Z,CANBK.NS,LONG,Buy,Favourable,0.404959,121,Exact,1.030656,3.0,129.5600,136.7136,122.6192,TARGET,2,true,false,false,0.061979,0.000000,0.055215,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-CHOLAFIN_NS,2026-03-23T03:45:00Z,CHOLAFIN.NS,LONG,Watch,Mixed,0.392405,79,Exact,0.978748,4.0,1380.9000,1442.6393,1317.8201,TARGET,2,true,false,false,0.074155,-0.004128,0.044709,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-CIPLA_NS,2026-03-23T03:45:00Z,CIPLA.NS,LONG,Watch,Mixed,0.304000,125,Exact,1.367348,4.0,1221.8000,1265.4335,1189.8891,HORIZON,4,false,false,true,0.025454,-0.005566,0.001964,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-COALINDIA_NS,2026-03-23T03:45:00Z,COALINDIA.NS,SHORT,NoTrade,Unfavourable,0.178378,185,StateOnly,1.061852,4.0,455.2500,437.0959,472.3467,NO_TRADE,4,false,false,false,0.036134,-0.017024,0.010544,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-COLPAL_NS,2026-03-23T03:45:00Z,COLPAL.NS,LONG,NoTrade,Unfavourable,0.250000,124,Exact,1.400325,3.5,1849.2000,1928.6833,1792.4393,NO_TRADE,4,false,false,false,0.042451,-0.036340,-0.030695,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-DABUR_NS,2026-03-23T03:45:00Z,DABUR.NS,LONG,Watch,Mixed,0.321678,143,Exact,1.044302,4.0,417.3500,429.4887,405.7263,TARGET,2,true,false,false,0.052234,-0.000839,0.029085,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-DIVISLAB_NS,2026-03-23T03:45:00Z,DIVISLAB.NS,SHORT,NoTrade,Unfavourable,0.298246,57,Exact,1.088264,4.0,6013.5000,5798.1719,6211.3638,NO_TRADE,4,false,false,false,0.018625,-0.020620,0.011058,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-DLF_NS,2026-03-23T03:45:00Z,DLF.NS,LONG,Watch,Mixed,0.326241,141,Exact,1.062140,3.0,514.7500,540.0324,490.9467,TARGET,2,true,false,false,0.052647,0.000000,0.049116,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-DRREDDY_NS,2026-03-23T03:45:00Z,DRREDDY.NS,SHORT,NoTrade,Unfavourable,0.283784,74,Exact,1.490326,4.0,1253.3000,1203.0678,1287.0056,NO_TRADE,2,false,false,false,0.003910,-0.044443,-0.026893,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-EICHERMOT_NS,2026-03-23T03:45:00Z,EICHERMOT.NS,LONG,Buy,Favourable,0.433333,60,Exact,1.165173,3.0,6681.5000,6961.6230,6441.0867,TARGET,1,true,false,false,0.042655,0.000000,0.041925,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-GAIL_NS,2026-03-23T03:45:00Z,GAIL.NS,LONG,Watch,Mixed,0.323810,105,Exact,0.850067,4.0,135.4000,140.4399,129.4712,TARGET,2,true,false,false,0.040251,-0.005908,0.037222,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-GODREJCP_NS,2026-03-23T03:45:00Z,GODREJCP.NS,LONG,Watch,Mixed,0.300000,110,Exact,1.031119,3.5,1002.4000,1039.8673,966.0635,TARGET,2,true,false,false,0.046488,-0.003292,0.037378,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-GODREJPROP_NS,2026-03-23T03:45:00Z,GODREJPROP.NS,LONG,Watch,Mixed,0.349206,126,Exact,0.980024,3.0,1497.2000,1578.9547,1413.7787,TARGET,2,true,false,false,0.071066,0.000000,0.054605,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-GRASIM_NS,2026-03-23T03:45:00Z,GRASIM.NS,LONG,Buy,Favourable,0.441558,77,Exact,0.810332,4.0,2531.1001,2607.7048,2436.5651,TARGET,2,true,false,false,0.054245,-0.003200,0.030265,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-HAVELLS_NS,2026-03-23T03:45:00Z,HAVELLS.NS,LONG,Watch,Mixed,0.364964,137,Exact,1.153423,4.0,1231.0000,1274.6548,1193.1520,TARGET,2,true,false,false,0.056052,-0.008123,0.035463,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-HCLTECH_NS,2026-03-23T03:45:00Z,HCLTECH.NS,LONG,NoTrade,Unfavourable,0.299320,147,Exact,0.928654,3.0,1358.6000,1409.3234,1303.9796,NO_TRADE,2,false,false,false,0.038864,-0.007802,0.037335,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-HDFCBANK_NS,2026-03-23T03:45:00Z,HDFCBANK.NS,LONG,Buy,Favourable,0.423358,137,Exact,0.862956,4.0,744.1500,760.2611,725.4804,TARGET,1,true,false,false,0.038433,0.000000,0.021650,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-HDFCLIFE_NS,2026-03-23T03:45:00Z,HDFCLIFE.NS,LONG,Watch,Mixed,0.322581,155,Exact,0.859167,4.0,592.1000,609.9768,571.2928,TARGET,2,true,false,false,0.042392,-0.003462,0.030192,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-HEROMOTOCO_NS,2026-03-23T03:45:00Z,HEROMOTOCO.NS,LONG,Watch,Mixed,0.317241,145,Exact,0.918744,4.0,5065.0000,5255.0921,4858.0956,TARGET,1,true,false,false,0.049753,0.000000,0.037531,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-HINDALCO_NS,2026-03-23T03:45:00Z,HINDALCO.NS,LONG,Watch,Mixed,0.394231,104,Exact,0.796659,4.0,840.2500,877.4614,793.5407,TARGET,4,true,false,false,0.086581,0.000000,0.044286,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-HINDUNILVR_NS,2026-03-23T03:45:00Z,HINDUNILVR.NS,LONG,Watch,Mixed,0.353293,167,Exact,1.007617,4.0,2052.2000,2104.6069,2000.1891,TARGET,1,true,false,false,0.030601,0.000000,0.025537,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-ICICIBANK_NS,2026-03-23T03:45:00Z,ICICIBANK.NS,LONG,Buy,Favourable,0.469565,115,Exact,1.207144,4.0,1222.7000,1260.3123,1191.5418,TARGET,2,true,false,false,0.041057,0.000000,0.030762,true
