ticker,total,complete,long,short,no_trade,long_complete,short_complete,bull_pos,bear_pos,bear_neg_long,absent_long,min_long_bucket,bull_neg,absent_short,min_short_bucket,target_rate,short_target_rate,median_mfe5,median_mfe10,bull_pos_rate,bear_pos_rate,bear_neg_long_rate,bull_neg_rate
SHREECEM.NS,1217,1208,1000,217,0,997,211,364,235,369,10,235,211,0,211,0.23470411233701102,0.2037914691943128,2.064128256513026,3.038114527711287,0.16483516483516483,0.2680851063829787,0.2899728997289973,0.2037914691943128
SIEMENS.NS,1217,1208,980,237,0,971,237,543,152,247,16,152,237,0,237,0.3141091658084449,0.18565400843881857,2.866626433313217,4.391226667547853,0.285451197053407,0.34210526315789475,0.32388663967611336,0.18565400843881857
SRF.NS,1218,1209,1013,205,0,1005,204,433,181,362,25,181,204,0,204,0.26865671641791045,0.24509803921568626,2.4683496126004623,3.708213728305888,0.25635103926096997,0.27624309392265195,0.26519337016574585,0.24509803921568626
SUNPHARMA.NS,1219,1210,1009,210,0,1005,205,550,158,268,23,158,205,0,205,0.33034825870646767,0.23902439024390243,2.128769430992451,3.2632717222491467,0.32545454545454544,0.43670886075949367,0.2873134328358209,0.23902439024390243
TATACONSUM.NS,1219,1210,1065,154,0,1056,154,466,165,396,6,165,154,0,154,0.26704545454545453,0.14285714285714285,2.023675939577353,2.941471120722449,0.2811158798283262,0.296969696969697,0.23484848484848486,0.14285714285714285
TATASTEEL.NS,1219,1210,1017,202,0,1008,202,523,140,316,7,140,202,0,202,0.29662698412698413,0.26732673267326734,2.6157826520976557,3.918943027308316,0.28680688336520077,0.35714285714285715,0.2879746835443038,0.26732673267326734
TCS.NS,1219,1210,1029,190,0,1020,190,347,207,437,13,207,190,0,190,0.26372549019607844,0.24210526315789474,1.7412382712899632,2.7272761629598246,0.2564841498559078,0.23671497584541062,0.28832951945080093,0.24210526315789474
TECHM.NS,1219,1210,1044,175,0,1035,175,525,173,308,16,173,175,0,175,0.3111111111111111,0.32571428571428573,2.4518495259251947,3.824036459253863,0.3142857142857143,0.31213872832369943,0.2857142857142857,0.32571428571428573
TITAN.NS,1218,1209,1006,212,0,997,212,520,179,269,29,179,212,0,212,0.35606820461384153,0.2688679245283019,2.22633760604832,3.7138215924957065,0.3326923076923077,0.3854748603351955,0.35315985130111527,0.2688679245283019
TMCV.NS,172,163,155,17,0,146,17,49,25,43,29,25,17,0,17,0.363013698630137,0.4117647058823529,4.097202463736135,6.080342754146956,0.30612244897959184,0.32,0.27906976744186046,0.4117647058823529
TORNTPHARM.NS,1217,1208,1057,160,0,1052,156,638,152,233,13,152,156,0,156,0.3517110266159696,0.16025641025641027,2.575946024655495,4.022339022367003,0.35266457680250785,0.29605263157894735,0.3948497854077253,0.16025641025641027
TRENT.NS,1218,1209,1024,194,0,1015,194,568,144,274,28,144,194,0,194,0.3458128078817734,0.26804123711340205,3.3035374693953927,5.3449476472433926,0.3785211267605634,0.3125,0.2664233576642336,0.26804123711340205
TVSMOTOR.NS,1218,1209,1043,175,0,1034,175,677,132,196,28,132,175,0,175,0.3355899419729207,0.14857142857142858,3.0259538016490213,4.820116833921579,0.33677991137370755,0.21212121212121213,0.37244897959183676,0.14857142857142858
ULTRACEMCO.NS,1218,1209,994,224,0,985,224,456,202,298,8,202,224,0,224,0.32588832487309644,0.29464285714285715,2.225970730328688,3.217134151805717,0.22587719298245615,0.40594059405940597,0.4228187919463087,0.29464285714285715
