source_type,s1_edge_preservation,s1_signature_overlap,s2_dist,returned_to_same_region,retained_elite,s2_region
Random,0.5556,0.4000,909.7049,false,false,1186890167040177385
Random,0.6389,0.8000,804.1204,false,true,1683420027325650615
Random,0.5556,0.4000,866.3124,false,false,1088568706554807137
Random,0.5278,0.6000,835.0131,false,false,6524965636449191191
Random,0.6111,0.6000,804.0379,false,true,3558468003845243869
Random,0.5000,0.2000,899.2043,false,false,2052371470005833177
Random,0.6944,0.6000,821.8258,false,false,3233581744611180501
Random,0.6667,0.6000,900.1366,false,false,9445200725741550009
Random,0.5000,0.8000,797.4513,true,true,10264966111433119558
Random,0.5278,0.4000,851.3646,false,false,17825264767026648772
Random,0.6389,0.8000,903.6239,false,false,8996599949920248359
Random,0.5278,0.6000,863.0656,false,false,815511221344663013
Random,0.5556,0.6000,803.3111,false,true,13996102363368337268
Random,0.6111,1.0000,797.4513,true,true,10264966111433119558
Random,0.5000,0.4000,821.7963,true,false,10264966111433119558
Random,0.5833,0.4000,852.4724,false,false,15654068327717318054
Random,0.6667,0.8000,827.3525,false,false,6942061030029042200
Random,0.5278,0.2000,829.1403,false,false,10896477319414813953
Random,0.5556,0.4000,899.1909,false,false,2908229843365185269
Random,0.5556,0.8000,797.4513,true,true,10264966111433119558
Random,0.5278,0.4000,818.6157,false,false,17754796920711630959
Random,0.7222,1.0000,797.4513,true,true,10264966111433119558
Random,0.5833,0.6000,816.2453,false,false,3030673687312833173
Random,0.6111,0.6000,801.8739,false,true,11824326250485796480
Random,0.6111,1.0000,852.7612,false,false,18149057315777912563
Random,0.5278,0.4000,810.5735,false,false,6307814058645704904
Random,0.7222,0.8000,797.4513,true,true,10264966111433119558
Random,0.5278,0.8000,822.9282,false,false,16706677395443074754
Random,0.5000,0.6000,803.3111,false,true,13996102363368337268
Random,0.5556,0.4000,820.7058,false,false,7079382817155203333
Random,0.6944,0.6000,835.6886,false,false,4353042218191378573
Random,0.5556,0.0000,969.4149,false,false,16679107753487821319
Random,0.5833,0.6000,797.4513,true,true,10264966111433119558
Random,0.5000,0.4000,994.0785,false,false,9719953098211867383
Random,0.5278,0.6000,874.0969,false,false,11946992078643007452
Random,0.6944,0.8000,797.4513,true,true,10264966111433119558
Random,0.5278,0.4000,856.9404,false,false,5329944905618358053
Random,0.5000,0.4000,797.4513,true,true,10264966111433119558
Random,0.5000,0.4000,821.8258,false,false,3233581744611180501
Random,0.6111,0.6000,849.0681,false,false,8152890429832592461
Random,0.5556,0.6000,894.9512,false,false,5273542286279606042
Random,0.5278,0.2000,842.3169,false,false,3814057175973504429
Random,0.5000,0.4000,823.7503,false,false,4975891338178397411
Random,0.5278,0.6000,820.1531,false,false,1799920800935451210
Random,0.5556,0.4000,836.0613,false,false,2098140014029165797
Random,0.5278,0.8000,821.7963,true,false,10264966111433119558
Random,0.5556,0.6000,847.7369,false,false,8968324408805450658
Random,0.5278,0.2000,810.5735,false,false,6307814058645704904
Random,0.5000,0.6000,869.6871,false,false,3256973775952857648
Random,0.5556,0.4000,874.4796,false,false,4784774940751536608
Random,0.5556,0.6000,931.2490,false,false,16934236326150513697
Random,0.5556,0.8000,810.5735,false,false,6307814058645704904
Random,0.5833,0.8000,797.8718,true,true,10264966111433119558
Random,0.6667,0.4000,797.4513,true,true,10264966111433119558
Random,0.5833,0.8000,829.9318,false,false,14210755499740821521
Random,0.5833,0.6000,862.4813,false,false,3227845520582800145
Random,0.5000,0.4000,797.8718,true,true,10264966111433119558
Random,0.5833,0.6000,885.2196,false,false,3558193136992636079
