source_type,s1_edge_preservation,backbone_broken,placebo_broken,s2_dist,target_basin_hash,elite_reconstruction
BackbonePreserver,0.6667,0,8,858.1911,13364294852125887391,0
BackbonePreserver,0.7222,0,8,803.3111,13996102363368337268,1
BackbonePreserver,0.7500,0,5,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,5,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,812.6236,10264966111433119558,0
BackbonePreserver,0.7222,0,7,797.8718,10264966111433119558,1
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6667,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.6111,0,10,812.6236,10264966111433119558,0
BackbonePreserver,0.7500,0,5,840.5598,5710683711427225096,0
BackbonePreserver,0.7222,0,6,854.1142,5459299833285040038,0
BackbonePreserver,0.7500,0,6,854.7872,16759967664892776603,0
BackbonePreserver,0.7222,0,6,860.0162,15938824652988399837,0
BackbonePreserver,0.7222,0,6,810.6053,10264966111433119558,0
BackbonePreserver,0.7222,0,6,911.5608,4304857147611416496,0
BackbonePreserver,0.6389,0,8,813.0478,14351870524596083993,0
BackbonePreserver,0.6944,0,8,858.1911,13364294852125887391,0
BackbonePreserver,0.7222,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,4,820.1789,11824326250485796480,0
BackbonePreserver,0.7222,0,8,846.4190,14413804658025960115,0
BackbonePreserver,0.7500,0,6,853.7405,391354705020787847,0
BackbonePreserver,0.6111,0,9,872.9268,13468586082648462068,0
BackbonePreserver,0.7222,0,7,887.0985,4623328874454717689,0
BackbonePreserver,0.6944,0,6,854.6170,2055257113323394818,0
BackbonePreserver,0.6389,0,10,862.4813,3227845520582800145,0
BackbonePreserver,0.7222,0,7,812.2031,10264966111433119558,0
BackbonePreserver,0.7500,0,5,820.9992,16153310431873527193,0
BackbonePreserver,0.6389,0,10,856.7975,17789279294523617662,0
BackbonePreserver,0.6944,0,9,821.7963,10264966111433119558,0
BackbonePreserver,0.7500,0,6,807.8428,1547347882701649523,1
BackbonePreserver,0.7222,0,5,828.3204,1941884731723026855,0
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6667,0,9,870.3260,15255657957730929445,0
BackbonePreserver,0.6667,0,8,858.2689,11937368851231159798,0
BackbonePreserver,0.7222,0,6,846.6440,10193339775716985021,0
BackbonePreserver,0.7222,0,6,901.3999,5247596530097834968,0
BackbonePreserver,0.7500,0,5,837.3772,3294689474773879898,0
BackbonePreserver,0.6944,0,6,811.3205,11824326250485796480,0
BackbonePreserver,0.6944,0,6,835.0500,1317356837511439522,0
BackbonePreserver,0.7500,0,7,834.3771,17491741963748787141,0
BackbonePreserver,0.6944,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,7,797.8718,10264966111433119558,1
BackbonePreserver,0.6667,0,8,844.0457,5084039809481129506,0
BackbonePreserver,0.7500,0,6,801.8739,11824326250485796480,1
BackbonePreserver,0.7222,0,6,886.8902,15039559791868912694,0
BackbonePreserver,0.6944,0,7,896.1979,1325588016315296484,0
BackbonePreserver,0.7500,0,7,817.8002,12333060991338731011,0
BackbonePreserver,0.6389,0,10,803.1277,4975891338178397411,1
BackbonePreserver,0.6389,0,9,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,834.3771,17491741963748787141,0
BackbonePreserver,0.7500,0,4,803.7866,199200466592558314,1
BackbonePreserver,0.7500,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,5,828.3204,1941884731723026855,0
BackbonePreserver,0.6944,0,6,854.6170,2055257113323394818,0
BackbonePreserver,0.6389,0,10,797.8718,10264966111433119558,1
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,811.3205,11824326250485796480,0
BackbonePreserver,0.7500,0,6,804.0648,6063581546530241427,1
BackbonePreserver,0.7222,0,6,911.5608,4304857147611416496,0
BackbonePreserver,0.7500,0,6,804.0648,6063581546530241427,1
BackbonePreserver,0.7500,0,5,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,5,867.9352,14327825350476894227,0
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.6667,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,841.0370,17811921967933490631,0
BackbonePreserver,0.7500,0,6,858.9745,15428664137859285929,0
BackbonePreserver,0.7500,0,7,819.5946,10471239690568628658,0
BackbonePreserver,0.6667,0,8,810.6053,10264966111433119558,0
BackbonePreserver,0.7222,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.6667,0,8,816.4278,15328930014682100007,0
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,830.6709,11741168474939349512,0
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,858.9745,15428664137859285929,0
BackbonePreserver,0.6944,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,825.1397,11824326250485796480,0
BackbonePreserver,0.7500,0,6,858.9745,15428664137859285929,0
BackbonePreserver,0.7500,0,7,834.3771,17491741963748787141,0
BackbonePreserver,0.6111,0,10,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,854.6170,2055257113323394818,0
BackbonePreserver,0.6667,0,8,820.1789,11824326250485796480,0
BackbonePreserver,0.6667,0,9,810.5735,6307814058645704904,0
BackbonePreserver,0.7500,0,5,826.6984,167170242380040613,0
BackbonePreserver,0.7222,0,7,820.7058,7079382817155203333,0
BackbonePreserver,0.6944,0,6,820.7058,7079382817155203333,0
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,854.6170,2055257113323394818,0
BackbonePreserver,0.6667,0,8,812.2031,10264966111433119558,0
BackbonePreserver,0.7500,0,5,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,8,888.8894,7805103542425217532,0
BackbonePreserver,0.7222,0,7,828.8892,167170242380040613,0
BackbonePreserver,0.6944,0,7,896.1979,1325588016315296484,0
BackbonePreserver,0.7500,0,7,857.9613,17715981148166012917,0
BackbonePreserver,0.7222,0,6,810.6053,10264966111433119558,0
BackbonePreserver,0.7222,0,7,882.9100,1780495502382711778,0
BackbonePreserver,0.6944,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,834.3771,17491741963748787141,0
BackbonePreserver,0.7222,0,6,803.7866,199200466592558314,1
BackbonePreserver,0.7222,0,7,820.7217,9385435922064181659,0
BackbonePreserver,0.7222,0,5,828.7001,10121627615558797951,0
BackbonePreserver,0.7500,0,6,835.8916,17374426709012510531,0
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,5,828.3204,1941884731723026855,0
BackbonePreserver,0.7222,0,5,887.1229,18122210244877673732,0
BackbonePreserver,0.6111,0,9,840.5855,9261302754911742891,0
BackbonePreserver,0.7222,0,8,801.8739,11824326250485796480,1
BackbonePreserver,0.7500,0,8,810.6053,10264966111433119558,0
BackbonePreserver,0.7500,0,6,801.8739,11824326250485796480,1
BackbonePreserver,0.6667,0,10,856.9836,12254746053784347469,0
BackbonePreserver,0.6667,0,10,797.8718,10264966111433119558,1
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,6,835.0500,1317356837511439522,0
BackbonePreserver,0.7222,0,6,828.3204,1941884731723026855,0
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,803.1277,4975891338178397411,1
BackbonePreserver,0.6111,0,8,827.6950,10450257694820613469,0
BackbonePreserver,0.7222,0,5,845.9556,6954008508939780195,0
BackbonePreserver,0.6944,0,6,855.5094,1732194121446099175,0
BackbonePreserver,0.6667,0,10,820.9992,16153310431873527193,0
BackbonePreserver,0.6944,0,6,797.8718,10264966111433119558,1
BackbonePreserver,0.7500,0,7,820.9992,16153310431873527193,0
BackbonePreserver,0.6944,0,7,887.1229,18122210244877673732,0
BackbonePreserver,0.7222,0,7,837.3408,9960454277854095025,0
BackbonePreserver,0.7500,0,8,844.8998,914318999449806448,0
BackbonePreserver,0.7500,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,854.1142,5459299833285040038,0
BackbonePreserver,0.6111,0,9,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,830.3328,5739212504447643914,0
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,804.0648,6063581546530241427,1
BackbonePreserver,0.7222,0,5,820.9992,16153310431873527193,0
BackbonePreserver,0.7222,0,7,801.8739,11824326250485796480,1
BackbonePreserver,0.7500,0,5,853.7405,391354705020787847,0
BackbonePreserver,0.7500,0,5,890.6573,1964745571346111489,0
BackbonePreserver,0.7222,0,7,797.8718,10264966111433119558,1
BackbonePreserver,0.7500,0,4,820.1789,11824326250485796480,0
BackbonePreserver,0.6944,0,9,849.0796,12329238839345201593,0
BackbonePreserver,0.7500,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.6389,0,9,820.9992,16153310431873527193,0
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,797.8718,10264966111433119558,1
BackbonePreserver,0.6389,0,10,827.1920,9737337230250925581,0
BackbonePreserver,0.7500,0,5,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,801.8739,11824326250485796480,1
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,8,803.1277,4975891338178397411,1
BackbonePreserver,0.6667,0,8,888.6808,15479487055833292131,0
BackbonePreserver,0.7500,0,7,797.8718,10264966111433119558,1
BackbonePreserver,0.7222,0,6,857.9648,7553523963272030806,0
BackbonePreserver,0.7222,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,5,848.0517,15928693899058039641,0
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,5,810.5735,6307814058645704904,0
BackbonePreserver,0.6667,0,8,877.1565,3223924296521772314,0
BackbonePreserver,0.6389,0,10,820.7058,7079382817155203333,0
BackbonePreserver,0.6667,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,5,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,803.1277,4975891338178397411,1
BackbonePreserver,0.6944,0,6,797.8718,10264966111433119558,1
BackbonePreserver,0.6944,0,7,856.1128,13582174528403163755,0
