ID,Path,Type,Category,Owner,Lifecycle,Confidence,Evidence
ART-0156,.venv_test/lib/python3.14/site-packages/pygments/lexers/futhark.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0157,.venv_test/lib/python3.14/site-packages/pygments/lexers/ada.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0158,.venv_test/lib/python3.14/site-packages/pygments/lexers/_postgres_builtins.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0159,.venv_test/lib/python3.14/site-packages/pygments/lexers/console.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0160,.venv_test/lib/python3.14/site-packages/pygments/lexers/mime.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0161,.venv_test/lib/python3.14/site-packages/pygments/lexers/_lua_builtins.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0162,.venv_test/lib/python3.14/site-packages/pygments/lexers/capnproto.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0163,.venv_test/lib/python3.14/site-packages/pygments/lexers/nimrod.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0164,.venv_test/lib/python3.14/site-packages/pygments/lexers/rebol.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0165,.venv_test/lib/python3.14/site-packages/pygments/lexers/objective.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0166,.venv_test/lib/python3.14/site-packages/pygments/lexers/sas.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0167,.venv_test/lib/python3.14/site-packages/pygments/lexers/_qlik_builtins.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0168,.venv_test/lib/python3.14/site-packages/pygments/lexers/phix.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0169,.venv_test/lib/python3.14/site-packages/pygments/lexers/graphql.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0170,.venv_test/lib/python3.14/site-packages/pygments/lexers/usd.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0171,.venv_test/lib/python3.14/site-packages/pygments/lexers/crystal.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0172,.venv_test/lib/python3.14/site-packages/pygments/lexers/verifpal.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
