evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
TIME006-20260814T101500Z-gen20260820T072246895413Z-SBIN_NS,2026-08-14T10:15:00Z,SBIN.NS,SHORT,NoTrade,Unfavourable,0.291667,192,StateOnly,1.178950,3.0,1067.7000,1026.8560,1102.3443,NO_TRADE,3,false,false,false,0.014330,-0.001030,0.013768,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-SHREECEM_NS,2026-08-14T10:15:00Z,SHREECEM.NS,SHORT,Watch,Mixed,0.383333,60,Exact,0.794500,4.0,24795.0000,24171.2850,25580.0410,HORIZON,4,false,false,true,0.021375,-0.005646,0.021174,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-SIEMENS_NS,2026-08-14T10:15:00Z,SIEMENS.NS,SHORT,NoTrade,Unfavourable,0.221106,199,StateOnly,1.017285,3.0,3940.0000,3748.5956,4128.1522,NO_TRADE,3,false,false,false,0.007538,-0.012310,-0.004315,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-SRF_NS,2026-08-14T10:15:00Z,SRF.NS,LONG,Watch,Mixed,0.310078,129,Exact,1.085903,3.0,2606.0000,2723.7454,2497.5692,HORIZON,3,false,false,true,0.014850,-0.004183,0.009210,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-SUNPHARMA_NS,2026-08-14T10:15:00Z,SUNPHARMA.NS,SHORT,Watch,Mixed,0.306667,75,Exact,1.002743,4.0,1930.0000,1872.9957,1986.8483,TARGET,2,true,false,false,0.031969,-0.010259,0.029536,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-TATACONSUM_NS,2026-08-14T10:15:00Z,TATACONSUM.NS,LONG,NoTrade,Unfavourable,0.258503,147,Exact,1.432606,4.0,1079.5000,1124.4825,1048.1010,NO_TRADE,4,false,false,false,0.004632,-0.021028,-0.010653,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-TATASTEEL_NS,2026-08-14T10:15:00Z,TATASTEEL.NS,LONG,Watch,Mixed,0.395522,134,Exact,0.821962,4.0,183.5000,189.6377,176.0329,HORIZON,4,false,false,true,0.019673,-0.007847,-0.003052,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-TCS_NS,2026-08-14T10:15:00Z,TCS.NS,SHORT,Watch,Mixed,0.300654,153,StateOnly,1.151562,3.0,2361.1001,2291.5315,2421.5124,TARGET,2,true,false,false,0.034348,0.000000,0.029464,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-TECHM_NS,2026-08-14T10:15:00Z,TECHM.NS,SHORT,Sell,Favourable,0.407143,140,StateOnly,1.016280,3.5,1632.8000,1567.6130,1696.9429,HORIZON,4,false,false,true,0.032398,-0.003736,0.023457,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-TITAN_NS,2026-08-14T10:15:00Z,TITAN.NS,SHORT,Watch,Mixed,0.323864,176,StateOnly,1.021211,3.0,5056.2002,4877.2563,5231.4273,HORIZON,3,false,false,true,0.003758,-0.010838,0.001503,true
