ticker,direction,date,entry_price,ret_h60,ret_h120,ret_h300,mae_h60,mae_h120,mae_h180,mae_h300,mfe_h60,mfe_h120,mfe_h300,recovered_to_positive,time_to_recovery_bars,n_bars
BAJFINANCE_NS,LONG,20260909,1039.300049,0.005966,0.005100,0.003464,0.000000,0.000000,0.000000,0.000000,0.013086,0.013086,0.013086,True,1,361
BAJFINANCE_NS,SHORT,20260908,1054.000000,-0.000664,-0.000285,-0.003226,-0.004649,-0.004649,-0.004649,-0.004649,0.001138,0.001423,0.003795,False,5,361
BANDHANBNK_NS,LONG,20260903,164.229996,0.007246,0.008829,0.014675,-0.008525,-0.008525,-0.008525,-0.008525,0.010473,0.014553,0.023930,True,1,361
BANDHANBNK_NS,LONG,20260904,164.949997,0.003334,0.009518,0.005092,0.000000,0.000000,0.000000,0.000000,0.006729,0.009942,0.010852,True,1,361
BANDHANBNK_NS,LONG,20260907,164.699997,-0.011718,-0.007893,-0.005890,-0.013358,-0.013358,-0.013358,-0.013358,0.001579,0.001579,0.001579,False,None,360
BANDHANBNK_NS,LONG,20260908,169.139999,-0.008159,-0.006858,0.012179,-0.034232,-0.034232,-0.034232,-0.034232,0.000000,0.000000,0.015254,True,58,360
BANDHANBNK_NS,LONG,20260909,171.699997,-0.013920,0.002271,0.004718,-0.017705,-0.017705,-0.017705,-0.017705,0.000000,0.003611,0.018928,True,23,361
BANKBARODA_NS,LONG,20260903,240.440002,0.012228,0.012144,0.008942,0.000000,0.000000,0.000000,0.000000,0.014723,0.014723,0.014723,True,1,361
BANKBARODA_NS,LONG,20260904,239.000000,0.006192,0.006485,0.005732,0.000000,0.000000,0.000000,0.000000,0.014100,0.014100,0.014100,True,1,361
BANKBARODA_NS,LONG,20260907,237.000000,0.005992,0.006751,0.002869,0.000000,0.000000,0.000000,0.000000,0.016456,0.016456,0.016456,True,1,361
BANKBARODA_NS,LONG,20260908,237.169998,0.000675,-0.000590,0.001602,-0.004680,-0.004680,-0.004680,-0.004680,0.000928,0.000928,0.001602,True,11,361
BANKBARODA_NS,LONG,20260909,234.100006,0.007903,0.005980,0.007518,0.000000,0.000000,0.000000,0.000000,0.012858,0.012858,0.012858,True,1,361
BERGEPAINT_NS,LONG,20260904,485.299988,0.005048,-0.000618,0.000000,0.000000,-0.001030,-0.001648,-0.001648,0.023491,0.023491,0.023491,True,1,375
BHARTIARTL_NS,LONG,20260903,1869.000000,-0.002354,-0.001552,-0.002408,-0.005297,-0.005297,-0.005297,-0.005297,0.000000,0.000000,0.000000,False,None,361
